Nom complet du site,Numero du site,E,N,Ile
Vermont Est,280,664425,1813710,GT
Vézoux Est,281,684075,1801710,GT
Vézoux Ouest,282,683825,1801610,GT
Vidon,283,687025,1759210,MG
Visca,284,668325,1796960,GT
Zévallos Nord,285,681625,1804060,GT
Zévallos Sud,286,681575,1803660,GT
Ravine sablée aval,287,659875,1822310,GT
Ravine sablée amont,288,659975,1822210,GT
Loyette,289,682575,1801110,GT
Mare de la pointe des châteaux,290,694275,1797110,GT
Ravine Celcourt,291,678175,1801310,GT
Saline à Godard,292,706475,1803560,DES
Ravine petite rivière-Desirade,293,711725,1806560,DES
Ravine du cimetière,294,712275,1806560,DES
Fontaine des lépreux,295,711975,1806710,DES
Surgy Ouest,296,676175,1798660,GT
Nesmond Moulin,297,689775,1761785,MG
La Souche,298,673775,1799460,GT
Gros Cap,299,669175,1814460,GT
Mare du Nord-Ouest,300,674475,1803210,GT
Carrière,301,671825,1796460,GT
Guyot,302,685225,1801160,GT
Bois Jolan,303,675475,1795760,GT
Bois de Vipart Nord Nord,304,679375,1800460,GT
